,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
48,East London,-33.02,27.91,66.2,43,0,5.82,ZA,2020-07-15 13:03:37
49,Vostok,46.49,135.88,59.94,93,0,3.2,RU,2020-07-15 13:06:53
50,Saint-Philippe,-21.36,55.77,78.8,65,42,6.93,RE,2020-07-15 13:06:53
51,Chesma,53.81,60.65,86.79,49,22,5.64,RU,2020-07-15 13:06:53
52,Emerald,-23.53,148.17,55.4,47,0,8.05,AU,2020-07-15 13:06:53
53,Cape Town,-33.93,18.42,62.6,33,0,9.17,ZA,2020-07-15 13:03:13
54,Saskylakh,71.92,114.08,68.97,70,78,14.79,RU,2020-07-15 13:06:53
55,Linxia Chengguanzhen,35.6,103.21,68.29,61,53,3.91,CN,2020-07-15 13:06:54
56,Ilulissat,69.22,-51.1,46.4,75,75,4.7,GL,2020-07-15 13:06:54
57,At-Bashi,41.17,75.81,69.71,35,69,5.97,KG,2020-07-15 13:06:54
58,Tegul'det,57.31,88.17,63.93,62,100,4.14,RU,2020-07-15 13:06:54
59,Eureka,40.8,-124.16,53.6,81,1,3.36,US,2020-07-15 13:06:54
60,Teahupoo,-17.83,-149.27,75.2,88,40,4.7,PF,2020-07-15 13:06:54
61,Leh,34.17,77.58,70.18,20,0,6.2,IN,2020-07-15 13:06:54
62,Norman Wells,65.28,-126.83,50.0,93,20,4.7,CA,2020-07-15 13:06:54
63,Jiazi,22.88,116.07,83.88,84,100,13.09,CN,2020-07-15 13:06:55
64,Pisco,-13.7,-76.22,59.0,93,90,9.17,PE,2020-07-15 13:06:55
65,Burnie,-41.07,145.92,41.0,83,100,5.01,AU,2020-07-15 13:07:18
66,Castro,-24.79,-50.01,55.2,78,31,5.01,BR,2020-07-15 13:07:18
67,Atuona,-9.8,-139.03,79.09,78,20,19.39,PF,2020-07-15 13:07:19
68,Hofn,64.25,-15.21,52.0,84,91,9.57,IS,2020-07-15 13:07:19
69,Esperance,-33.87,121.9,51.8,71,0,6.93,AU,2020-07-15 13:07:19
70,Nānākuli,21.39,-158.15,75.2,83,90,5.82,US,2020-07-15 13:07:19
71,Longyearbyen,78.22,15.64,46.4,70,75,4.7,SJ,2020-07-15 13:07:19
72,Yellowknife,62.46,-114.35,53.6,87,75,12.75,CA,2020-07-15 13:07:19
73,Balikpapan,-1.27,116.83,82.4,83,40,8.05,ID,2020-07-15 13:06:53
74,Saldanha,-33.01,17.94,62.6,36,0,3.36,ZA,2020-07-15 13:07:20
75,Souillac,-20.52,57.52,75.2,69,40,14.99,MU,2020-07-15 13:07:20
76,Bambous Virieux,-20.34,57.76,75.2,69,40,14.99,MU,2020-07-15 13:07:20
77,Palmer,42.16,-72.33,70.0,77,90,4.7,US,2020-07-15 13:07:20
78,Santiago Tuxtla,18.47,-95.3,76.33,86,100,0.54,MX,2020-07-15 13:07:20
79,Rio de Janeiro,-22.9,-43.21,66.2,100,90,9.17,BR,2020-07-15 13:05:57
80,Kuching,1.55,110.33,80.6,88,20,1.36,MY,2020-07-15 13:07:20
81,Nikolskoye,59.7,30.79,64.4,48,20,11.18,RU,2020-07-15 13:07:21
82,Qaanaaq,77.48,-69.36,40.86,82,100,10.04,GL,2020-07-15 13:07:21
83,Yangi Marg`ilon,40.43,71.72,96.8,19,100,9.17,UZ,2020-07-15 13:07:21
84,Isangel,-19.55,169.27,69.8,94,20,2.55,VU,2020-07-15 13:07:21
85,Busselton,-33.65,115.33,55.99,81,73,17.72,AU,2020-07-15 13:07:21
86,Deputatsky,69.3,139.9,39.02,74,17,11.88,RU,2020-07-15 13:07:21
87,Médéa,36.26,2.75,86.0,55,20,19.46,DZ,2020-07-15 13:07:21
88,Te Anau,-45.42,167.72,32.27,96,92,0.81,NZ,2020-07-15 13:07:21
89,Poum,-20.23,164.02,70.86,74,0,13.85,NC,2020-07-15 13:07:22
90,Tucumcari,35.17,-103.72,68.0,72,1,5.82,US,2020-07-15 13:07:20
91,Port-Gentil,-0.72,8.78,78.8,74,40,7.92,GA,2020-07-15 13:07:22
92,Avarua,-21.21,-159.78,68.0,64,100,3.36,CK,2020-07-15 13:07:22
93,Mergen,49.18,125.22,69.48,82,100,5.08,CN,2020-07-15 13:07:22
94,Brae,60.4,-1.35,57.2,71,20,5.82,GB,2020-07-15 13:07:22
95,Los Llanos de Aridane,28.66,-17.92,78.8,65,20,18.34,ES,2020-07-15 13:07:22
96,Shahr-e Kord,32.33,50.86,87.8,10,40,11.41,IR,2020-07-15 13:07:22
97,Guerrero Negro,27.98,-114.06,65.62,89,0,9.26,MX,2020-07-15 13:07:23
98,Vaini,-21.2,-175.2,73.4,78,40,6.93,TO,2020-07-15 13:07:23
99,Arman',59.7,150.17,52.38,93,12,4.09,RU,2020-07-15 13:07:23
100,Bairiki Village,1.33,172.98,82.4,74,20,2.24,KI,2020-07-15 13:07:23
101,Tuatapere,-46.13,167.68,39.0,83,59,3.0,NZ,2020-07-15 13:07:23
102,Iqaluit,63.75,-68.51,59.0,51,20,10.29,CA,2020-07-15 13:07:23
103,Cherskiy,68.75,161.3,39.42,84,100,7.36,RU,2020-07-15 13:07:23
104,Maniitsoq,65.42,-52.9,45.05,80,18,5.75,GL,2020-07-15 13:07:24
105,Kushālgarh,23.2,74.45,91.62,55,96,8.57,IN,2020-07-15 13:07:24
106,Mindelo,16.89,-24.98,84.2,66,75,4.7,CV,2020-07-15 13:07:24
107,La Llanada,1.49,-77.58,49.82,100,59,1.61,CO,2020-07-15 13:07:24
108,Upernavik,72.79,-56.15,43.3,83,0,4.09,GL,2020-07-15 13:07:24
109,Turukhansk,65.82,87.98,54.36,66,100,6.06,RU,2020-07-15 13:07:24
110,Aykhal,66.0,111.5,75.2,38,20,4.47,RU,2020-07-15 13:07:24
111,Martapura,-3.42,114.85,77.0,100,90,2.24,ID,2020-07-15 13:02:32
112,Barcelos,41.54,-8.62,89.6,27,0,8.05,PT,2020-07-15 13:07:24
113,Itoman,26.12,127.67,84.2,94,75,13.87,JP,2020-07-15 13:07:25
114,Naryan-Mar,67.67,53.09,53.67,65,100,14.25,RU,2020-07-15 13:07:25
115,Dikson,73.51,80.55,40.55,92,100,13.6,RU,2020-07-15 13:07:25
116,Esim,4.87,-2.24,78.89,68,68,10.63,GH,2020-07-15 13:07:25
117,Conakry,9.54,-13.68,77.0,100,90,6.93,GN,2020-07-15 13:03:02
118,Pevek,69.7,170.31,46.42,80,100,5.99,RU,2020-07-15 13:07:25
119,Guarapari,-20.67,-40.5,71.6,88,75,10.29,BR,2020-07-15 13:07:26
120,Chui,-33.7,-53.46,42.78,64,0,4.0,UY,2020-07-15 13:07:26
121,Port Hardy,50.7,-127.42,57.2,100,90,2.24,CA,2020-07-15 13:07:26
122,Vanimo,-2.67,141.3,79.07,85,16,5.73,PG,2020-07-15 13:07:26
123,Lengshuijiang,27.69,111.43,80.4,85,100,3.89,CN,2020-07-15 13:07:26
124,Alofi,-19.06,-169.92,69.8,77,100,8.05,NU,2020-07-15 13:07:26
125,Severo-Kuril'sk,50.68,156.12,50.76,91,97,8.72,RU,2020-07-15 13:07:26
126,Krasnoborsk,61.56,45.93,60.21,81,100,11.1,RU,2020-07-15 13:07:26
127,Cloquet,46.72,-92.46,66.2,68,1,8.05,US,2020-07-15 13:07:27
128,Moindou,-21.69,165.68,69.8,88,90,2.24,NC,2020-07-15 13:07:27
129,Carnarvon,-24.87,113.63,68.0,64,40,8.05,AU,2020-07-15 13:07:27
130,Haines Junction,60.75,-137.51,48.33,86,100,1.74,CA,2020-07-15 13:07:27
131,Tonantins,-2.87,-67.8,79.66,77,78,0.85,BR,2020-07-15 13:07:27
132,Rawson,-43.3,-65.1,37.96,71,1,9.1,AR,2020-07-15 13:07:27
133,Husavik,66.04,-17.34,51.8,93,90,5.82,IS,2020-07-15 13:07:28
134,Springbok,-29.66,17.89,53.78,38,0,31.47,ZA,2020-07-15 13:07:28
135,Hilo,19.73,-155.09,73.4,88,90,4.7,US,2020-07-15 13:07:28
136,Laas,46.62,10.7,63.0,76,40,5.82,IT,2020-07-15 13:07:28
137,Beloha,-25.17,45.05,71.91,52,30,12.48,MG,2020-07-15 13:07:28
138,Bergama,39.12,27.18,87.8,42,40,16.11,TR,2020-07-15 13:07:28
139,Charleston,32.78,-79.93,87.01,79,1,5.46,US,2020-07-15 13:06:42
140,Baruun-Urt,46.68,113.28,74.08,56,80,3.78,MN,2020-07-15 13:07:28
141,Desert Hot Springs,33.96,-116.5,80.6,30,1,4.43,US,2020-07-15 13:07:29
142,Doha,25.29,51.53,113.0,40,0,6.93,QA,2020-07-15 13:03:23
143,Grindavik,63.84,-22.43,51.8,100,75,8.05,IS,2020-07-15 13:07:29
144,Ribeira Grande,38.52,-28.7,71.6,78,75,16.11,PT,2020-07-15 13:07:29
145,San Cristobal,7.77,-72.22,77.0,78,40,2.24,VE,2020-07-15 13:05:31
146,Inongo,-1.95,18.27,74.89,74,49,2.44,CD,2020-07-15 13:07:29
147,San Ignacio,17.16,-89.07,78.01,100,20,6.93,BZ,2020-07-15 13:07:29
148,Huarmey,-10.07,-78.15,63.43,80,68,7.36,PE,2020-07-15 13:07:30
149,Tautira,-17.73,-149.15,75.2,88,20,1.12,PF,2020-07-15 13:07:30
150,West Wendover,40.74,-114.07,66.2,20,1,4.7,US,2020-07-15 13:07:30
151,Shwebo,22.57,95.7,85.69,70,100,6.55,MM,2020-07-15 13:07:30
152,Nizhnyaya Tura,58.63,59.81,92.03,36,0,6.4,RU,2020-07-15 13:07:30
153,Caravelas,-17.71,-39.25,80.31,62,0,3.22,BR,2020-07-15 13:07:30
154,Mahabalipuram,12.63,80.17,89.6,62,75,5.82,IN,2020-07-15 13:07:31
155,Tilichiki,60.47,166.1,47.86,96,100,3.53,RU,2020-07-15 13:07:31
156,Coahuayana Viejo,18.73,-103.68,73.4,83,40,3.8,MX,2020-07-15 13:07:31
157,Ibotirama,-12.19,-43.22,84.61,38,16,5.26,BR,2020-07-15 13:07:31
158,Kaitangata,-46.28,169.85,42.01,85,77,5.26,NZ,2020-07-15 13:07:31
159,Leningradskiy,69.38,178.42,38.75,91,99,7.85,RU,2020-07-15 13:07:31
160,Pryazha,61.69,33.62,62.6,63,20,8.95,RU,2020-07-15 13:07:31
161,Mount Gambier,-37.83,140.77,39.2,93,40,5.82,AU,2020-07-15 13:07:32
162,Abū Zabad,12.35,29.25,86.56,51,100,9.13,SD,2020-07-15 13:07:32
163,Nome,64.5,-165.41,51.8,87,90,6.93,US,2020-07-15 13:07:32
164,Half Moon Bay,37.46,-122.43,61.0,77,90,3.36,US,2020-07-15 13:07:32
165,Itarema,-2.92,-39.92,82.9,64,32,12.01,BR,2020-07-15 13:07:32
166,Paamiut,61.99,-49.67,42.08,88,1,15.21,GL,2020-07-15 13:07:32
167,Cap Malheureux,-19.98,57.61,75.0,66,95,8.99,MU,2020-07-15 13:07:32
168,Lebu,-37.62,-73.65,51.35,82,4,2.95,CL,2020-07-15 13:07:33
169,Mazatlán,23.22,-106.42,84.0,88,75,5.82,MX,2020-07-15 13:07:33
170,La Roche-sur-Yon,46.67,-1.43,69.8,52,75,11.41,FR,2020-07-15 13:07:33
171,Arraial do Cabo,-22.97,-42.03,66.2,82,75,2.24,BR,2020-07-15 13:07:33
172,Vila Franca do Campo,37.72,-25.43,69.8,77,75,6.93,PT,2020-07-15 13:07:33
173,Abalak,58.13,68.59,87.94,48,0,6.76,RU,2020-07-15 13:07:33
174,Władysławowo,54.79,18.4,77.0,36,0,12.75,PL,2020-07-15 13:07:33
175,Agüimes,27.91,-15.45,80.6,61,20,33.33,ES,2020-07-15 13:07:34
176,Dingle,11.0,122.67,78.21,85,93,7.47,PH,2020-07-15 13:07:34
177,Santa Isabel Rio Negro,-0.41,-65.02,81.12,75,0,2.01,BR,2020-07-15 13:07:34
178,Mahébourg,-20.41,57.7,75.2,69,40,14.99,MU,2020-07-15 13:07:34
179,Avera,33.19,-82.53,80.6,83,1,3.47,US,2020-07-15 13:07:34
180,Takoradze,4.88,-1.76,79.84,67,34,10.89,GH,2020-07-15 13:07:34
181,Cambados,42.51,-8.81,87.8,33,0,11.41,ES,2020-07-15 13:07:35
182,Ormond Beach,29.29,-81.06,82.99,88,1,7.2,US,2020-07-15 13:06:19
183,Katsuura,35.13,140.3,69.01,100,75,14.99,JP,2020-07-15 13:07:35
184,Verkhnevilyuysk,63.45,120.32,70.75,59,100,4.92,RU,2020-07-15 13:07:35
185,Kavieng,-2.57,150.8,81.93,70,50,3.47,PG,2020-07-15 13:07:35
186,Simpang,-1.27,104.08,75.96,86,48,2.62,ID,2020-07-15 13:05:01
187,Clyde River,70.47,-68.59,44.6,93,90,6.93,CA,2020-07-15 13:03:05
188,Solnechnyy,50.72,136.63,67.01,92,2,3.38,RU,2020-07-15 13:07:35
189,Dunda,-8.12,34.25,85.39,26,4,10.07,TZ,2020-07-15 13:07:36
190,Angoche,-16.23,39.91,74.89,59,21,15.88,MZ,2020-07-15 13:07:36
191,Saint-François,46.42,3.91,64.4,72,75,9.17,FR,2020-07-15 13:07:36
192,Gamba,-2.65,10.0,76.05,73,40,7.72,GA,2020-07-15 13:07:36
193,Havre-St-Pierre,50.23,-63.6,60.8,67,1,2.24,CA,2020-07-15 13:07:36
194,Buenos Aires,-34.61,-58.38,48.0,60,0,6.38,AR,2020-07-15 13:04:57
195,Vila Velha,-20.33,-40.29,71.6,88,75,10.29,BR,2020-07-15 13:03:47
196,Fulton,33.77,-84.45,82.99,94,90,4.7,US,2020-07-15 13:07:37
197,Novozavidovskiy,56.55,36.43,67.77,80,0,7.38,RU,2020-07-15 13:07:37
198,Homer,59.64,-151.55,55.0,87,1,6.93,US,2020-07-15 13:07:37
199,Tucupita,9.06,-62.05,80.94,81,1,4.14,VE,2020-07-15 13:07:37
200,Mar del Plata,-38.0,-57.56,44.01,86,0,3.36,AR,2020-07-15 13:07:37
201,Chabahar,25.29,60.64,86.09,76,0,11.79,IR,2020-07-15 13:07:37
202,Launceston,-41.45,147.17,43.0,81,75,9.17,AU,2020-07-15 13:07:37
203,San Patricio,19.22,-104.7,78.8,78,40,6.93,MX,2020-07-15 13:07:38
204,Poya,-21.35,165.15,68.45,79,84,4.9,NC,2020-07-15 13:07:38
205,Nouadhibou,20.93,-17.03,77.0,61,16,16.11,MR,2020-07-15 13:07:38
206,Les Cayes,18.2,-73.75,83.66,69,0,2.1,HT,2020-07-15 13:07:38
207,Northam,51.03,-4.22,64.0,79,84,5.99,GB,2020-07-15 13:07:38
208,Henties Bay,-22.12,14.28,73.99,47,0,1.99,NA,2020-07-15 13:07:38
209,Shelburne,44.08,-80.2,73.0,88,1,3.36,CA,2020-07-15 13:07:38
210,São Filipe,14.9,-24.5,78.91,78,57,12.3,CV,2020-07-15 13:07:39
211,Praia da Vitória,38.73,-27.07,73.4,69,75,12.26,PT,2020-07-15 13:07:39
212,Lavrentiya,65.58,-171.0,43.72,94,100,1.92,RU,2020-07-15 13:07:39
213,Puerto Peñasco,31.32,-113.53,86.0,76,0,10.0,MX,2020-07-15 13:07:36
214,Inhambane,-23.86,35.38,69.49,52,16,19.84,MZ,2020-07-15 13:07:39
215,Tuktoyaktuk,69.45,-133.04,44.85,68,79,8.05,CA,2020-07-15 13:07:39
216,Bengkulu,-3.8,102.27,80.19,76,100,2.71,ID,2020-07-15 13:07:39
217,Wanning,18.8,110.4,82.47,83,87,10.78,CN,2020-07-15 13:07:39
218,Buala,-8.14,159.59,79.65,79,99,3.29,SB,2020-07-15 13:07:40
219,Dubai,25.26,55.3,102.2,48,0,11.41,AE,2020-07-15 13:07:23
220,Longkou,37.65,120.33,77.2,72,74,6.64,CN,2020-07-15 13:07:40
221,Ambilobe,-13.2,49.05,82.18,55,57,5.21,MG,2020-07-15 13:07:40
222,Sinop Province,41.77,34.87,75.2,69,75,10.29,TR,2020-07-15 13:07:31
223,Mozarlândia,-14.74,-50.57,85.84,21,0,9.4,BR,2020-07-15 13:07:40
224,Puerto Escondido,15.85,-97.07,77.0,78,90,9.17,MX,2020-07-15 13:07:40
225,Davila,18.47,120.58,84.02,74,10,3.58,PH,2020-07-15 13:07:40
226,Bitung,1.45,125.18,78.8,88,20,3.36,ID,2020-07-15 13:07:41
227,Basco,20.45,121.97,85.75,77,60,11.99,PH,2020-07-15 13:07:41
228,Ambulu,-8.35,113.61,75.18,85,98,8.03,ID,2020-07-15 13:07:41
229,São João da Barra,-21.64,-41.05,68.0,94,90,9.17,BR,2020-07-15 13:04:29
230,Umm Kaddadah,13.6,26.69,96.19,28,2,6.62,SD,2020-07-15 13:07:41
231,Fairbanks,64.84,-147.72,53.01,93,1,5.82,US,2020-07-15 13:07:41
232,Lensk,60.73,114.93,72.09,72,3,4.88,RU,2020-07-15 13:07:41
233,Uthal,25.81,66.62,91.8,61,0,15.97,PK,2020-07-15 13:07:41
234,Dessie,11.13,39.63,68.38,51,99,13.09,ET,2020-07-15 13:07:41
235,Qeshm,26.96,56.27,100.4,60,0,11.41,IR,2020-07-15 13:07:41
236,Krasnosel'kup,65.7,82.47,63.86,50,83,5.61,RU,2020-07-15 13:07:42
237,Kudahuvadhoo,2.67,72.89,84.69,71,100,8.25,MV,2020-07-15 13:07:42
238,Thompson,55.74,-97.86,59.0,93,90,10.29,CA,2020-07-15 13:03:07
239,Khatanga,71.97,102.5,61.59,65,100,8.75,RU,2020-07-15 13:07:42
240,The Valley,18.22,-63.06,84.99,65,40,14.99,AI,2020-07-15 13:06:05
241,Eyl,7.98,49.82,94.03,36,97,29.21,SO,2020-07-15 13:07:42
242,Bud,39.45,-86.18,73.0,78,1,4.5,US,2020-07-15 13:07:42
243,Ostrovnoy,68.05,39.51,54.77,65,0,6.69,RU,2020-07-15 13:07:42
244,Acapulco de Juárez,16.86,-99.89,78.8,88,75,2.24,MX,2020-07-15 13:06:59
245,Seydi,39.48,62.91,107.73,8,0,11.23,TM,2020-07-15 13:07:43
246,Berlevåg,70.86,29.09,50.0,81,27,14.99,NO,2020-07-15 13:07:43
247,Morón,-34.65,-58.62,46.99,59,0,2.24,AR,2020-07-15 13:07:43
248,Jaisalmer,26.91,70.92,97.72,37,10,21.7,IN,2020-07-15 13:07:43
249,Hithadhoo,-0.6,73.08,84.9,70,70,6.71,MV,2020-07-15 13:07:43
250,Miandrivazo,-19.52,45.47,86.59,25,0,8.88,MG,2020-07-15 13:07:43
251,Lompoc,34.64,-120.46,57.2,87,65,3.6,US,2020-07-15 13:07:14
252,Durango,24.83,-104.83,66.56,51,75,3.22,MX,2020-07-15 13:05:47
253,Talnakh,69.49,88.4,51.8,71,75,11.18,RU,2020-07-15 13:07:44
254,Washougal,45.58,-122.35,57.0,82,1,5.82,US,2020-07-15 13:07:44
255,Bilibino,68.05,166.44,53.55,77,100,1.83,RU,2020-07-15 13:07:44
256,La Asuncion,11.03,-63.86,80.6,88,0,9.17,VE,2020-07-15 13:07:34
257,Hervey Bay,-25.3,152.85,55.99,53,0,4.0,AU,2020-07-15 13:07:44
258,Pangnirtung,66.15,-65.71,51.8,76,40,10.29,CA,2020-07-15 13:07:44
259,Camopi,3.17,-52.32,79.75,85,5,3.13,GF,2020-07-15 13:07:44
260,Kaeo,-35.1,173.78,57.99,3,34,1.99,NZ,2020-07-15 13:07:44
261,Praia,14.92,-23.51,82.4,65,75,17.22,CV,2020-07-15 13:07:45
262,Guiyang,26.58,106.72,80.6,65,20,11.18,CN,2020-07-15 13:07:45
263,Tura,25.52,90.22,77.2,95,84,4.94,IN,2020-07-15 13:07:45
264,San-Pédro,4.75,-6.64,79.57,66,100,8.97,CI,2020-07-15 13:07:45
265,Ibiapina,-3.92,-40.89,76.41,58,0,8.55,BR,2020-07-15 13:07:45
266,Rahden,52.43,8.62,68.0,63,75,8.05,DE,2020-07-15 13:07:45
267,Tungor,53.38,142.96,57.2,90,87,10.18,RU,2020-07-15 13:07:45
268,Honningsvåg,70.98,25.97,46.4,87,75,5.82,NO,2020-07-15 13:07:46
269,Waoundé,15.26,-12.87,89.6,55,8,11.41,SN,2020-07-15 13:07:46
270,Houma,29.6,-90.72,82.99,94,1,3.89,US,2020-07-15 13:07:46
271,Codrington,-38.27,141.97,42.93,91,0,5.99,AU,2020-07-15 13:07:46
272,Finschhafen,-6.6,147.87,79.43,78,53,7.96,PG,2020-07-15 13:07:46
273,Mancherial,18.87,79.43,78.33,90,100,5.28,IN,2020-07-15 13:07:46
274,Bonavista,48.65,-53.11,48.99,79,100,15.01,CA,2020-07-15 13:07:46
275,Makhinjauri,41.67,41.69,78.8,78,40,10.29,GE,2020-07-15 13:07:46
276,Tateyama,34.98,139.87,69.01,100,25,5.01,JP,2020-07-15 13:07:47
277,Sørland,67.67,12.69,60.8,67,80,5.82,NO,2020-07-15 13:07:48
278,Bhuj,23.27,69.67,93.81,52,100,12.44,IN,2020-07-15 13:07:48
279,Chapais,49.78,-74.85,66.2,68,1,10.29,CA,2020-07-15 13:07:48
280,Dzerzhinsk,56.24,43.46,78.8,44,75,17.9,RU,2020-07-15 13:07:49
281,Culpeper,38.5,-77.97,75.2,64,1,2.84,US,2020-07-15 13:04:41
282,Pauini,-7.71,-66.98,80.06,67,0,2.95,BR,2020-07-15 13:07:49
283,Karratha,-20.74,116.85,65.82,67,0,3.94,AU,2020-07-15 13:07:50
284,Sigiriya,7.95,80.74,82.08,68,100,12.35,LK,2020-07-15 13:07:50
285,Sławno,54.36,16.68,68.63,73,100,4.5,PL,2020-07-15 13:07:51
286,Mandalgovi,45.76,106.27,77.2,18,6,6.13,MN,2020-07-15 13:07:51
287,Moroni,-11.7,43.26,86.0,48,40,12.75,KM,2020-07-15 13:07:52
288,Andenes,69.31,16.12,64.4,55,0,8.05,NO,2020-07-15 13:07:53
289,Port Lincoln,-34.73,135.87,54.81,88,0,9.51,AU,2020-07-15 13:07:53
290,Jyvaskyla,62.24,25.72,73.0,49,70,2.24,FI,2020-07-15 13:07:53
291,Ixtapa,20.7,-105.2,81.0,83,5,4.7,MX,2020-07-15 13:07:53
292,Iquique,-20.22,-70.14,55.4,76,75,4.7,CL,2020-07-15 13:07:53
293,Banda Aceh,5.56,95.32,82.11,74,79,1.72,ID,2020-07-15 13:03:20
294,Ārvi,20.98,78.23,79.14,85,100,6.67,IN,2020-07-15 13:07:54
295,Barra de Tecoanapa,16.52,-98.75,78.04,86,0,4.21,MX,2020-07-15 13:07:54
296,Kavaratti,10.57,72.64,83.3,80,100,19.1,IN,2020-07-15 13:07:54
297,Tiksi,71.69,128.87,37.58,79,0,10.42,RU,2020-07-15 13:07:54
298,Várzea Grande,-15.65,-56.13,77.0,73,0,3.36,BR,2020-07-15 13:07:54
299,Deniliquin,-35.53,144.97,43.48,86,0,5.23,AU,2020-07-15 13:07:54
300,Torbay,47.67,-52.73,50.0,100,90,19.46,CA,2020-07-15 13:05:16
301,Vardø,70.37,31.11,60.8,59,11,8.05,NO,2020-07-15 13:04:39
302,Wau,7.7,28.0,84.07,64,6,5.55,SS,2020-07-15 13:07:55
303,Saint Anthony,45.02,-93.22,66.99,88,40,2.04,US,2020-07-15 13:07:55
304,Ondo,7.1,4.83,80.11,74,100,4.85,NG,2020-07-15 13:07:55
305,Serebryansk,49.69,83.29,87.8,35,20,15.66,KZ,2020-07-15 13:07:55
